MODULE	COMPLEX
K03878	complex 1
K03879	complex 1
K03880	complex 1
K03881	complex 1
K03882	complex 1
K03883	complex 1
K03884	complex 1
K03934	complex 1
K03935	complex 1
K03936	complex 1
K03937	complex 1
K03938	complex 1
K03939	complex 1
K03940	complex 1
K03941	complex 1
K03942	complex 1
K03943	complex 1
K03944	complex 1
K03945	complex 1
K03946	complex 1
K03947	complex 1
K03948	complex 1
K03949	complex 1
K03950	complex 1
K03951	complex 1
K03952	complex 1
K03953	complex 1
K03954	complex 1
K03955	complex 1
K03956	complex 1
K11352	complex 1
K11353	complex 1
K03958	complex 1
K03959	complex 1
K03960	complex 1
K03961	complex 1
K03962	complex 1
K03963	complex 1
K03964	complex 1
K03965	complex 1
K03966	complex 1
K11351	complex 1
K03967	complex 1
K03968	complex 1
K00236	complex 2
K00237	complex 2
K00234	complex 2
K00235	complex 2
K00411	complex 3
K00412	complex 3
K00413	complex 3
K00414	complex 3
K00415	complex 3
K00416	complex 3
K00417	complex 3
K00418	complex 3
K00419	complex 3
K00420	complex 3
K08738	cytochrome c
K02257	complex 4
K02262	complex 4
K02256	complex 4
K02261	complex 4
K02263	complex 4
K02264	complex 4
K02265	complex 4
K02266	complex 4
K02267	complex 4
K02268	complex 4
K02270	complex 4
K02271	complex 4
K02272	complex 4
K02273	complex 4
K02258	complex 4
K02259	complex 4
K02260	complex 4
K02132	complex 5
K02133	complex 5
K02136	complex 5
K02134	complex 5
K02135	complex 5
K02137	complex 5
K02126	complex 5
K02127	complex 5
K02128	complex 5
K02138	complex 5
K02129	complex 5
K02130	complex 5
K02140	complex 5
K02131	complex 5
K02125	complex 5
K02145	complex 5
K02147	complex 5
K02148	complex 5
K02149	complex 5
K02150	complex 5
K02151	complex 5
K02152	complex 5
K02144	complex 5
K02154	complex 5
K03661	complex 5
K02155	complex 5
K02146	complex 5
K02153	complex 5
K03662	complex 5
